Polymer,Polymer_SMILES,Solvent,Solvent_SMILES,Sum_of_Frags,SD,Polymer_SELFIES,Solvent_SELFIES,Polymer_ohe,Solvent_ohe,PS_ohe
Matrimid,CC7(C)CC(C)(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n([*])c(=O)c1c2)cc3c4=O)cc5)c6cc([*])ccc67,Hexane,CCCCCC,"[5, 5, 0, 0, 5, 2, 0, 0, 4, 0, 0, 0]",3.57,[C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][C][C][Branch2][Branch1][=N][C][=C][C][=C][Branch2][Ring2][P][N][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][O][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][C][=O][N][Branch1][C][C][C][=Branch1][C][=O][C][Ring1][Branch2][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2][=O][C][=C][Ring2][Ring1][#C][C][C][Ring2][Ring2][=Branch1][Branch1][C][C][C],[C][C][C][C][C][C],"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Matrimid,CC7(C)CC(C)(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n([*])c(=O)c1c2)cc3c4=O)cc5)c6cc([*])ccc67,EA,CCOC(=O)C,"[5, 2, 0, 1, 6, 2, 0, 0, 4, 0, 0, 0]",15.08,[C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][C][C][Branch2][Branch1][=N][C][=C][C][=C][Branch2][Ring2][P][N][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][O][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][C][=O][N][Branch1][C][C][C][=Branch1][C][=O][C][Ring1][Branch2][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2][=O][C][=C][Ring2][Ring1][#C][C][C][Ring2][Ring2][=Branch1][Branch1][C][C][C],[C][C][O][C][=Branch1][C][=O][C],"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PSf,[*]Oc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(*)cc1)cc2)cc3)cc4,MEK,CCC(=O)C,"[4, 1, 0, 2, 1, 0, 0, 1, 4, 0, 0, 0]",11.17,[C][O][C][=C][C][=C][Branch2][Branch1][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][#C][O][C][=C][C][=C][Branch2][Ring1][Ring1][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=C][Ring1][S][C][=C][Ring2][Ring1][#Branch1][C][=C][Ring2][Ring1][S],[C][C][C][=Branch1][C][=O][C],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
P84,Cc1cc(c7ccc(Cc6ccc([*])cc6)cc7)ccc1n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n([*])c(=O)c2c3)cc4c5=O,MEK,CCC(=O)C,"[2, 1, 0, 0, 6, 2, 0, 0, 3, 0, 0, 0]",5.43,[C][C][=C][C][=C][Branch2][=Branch1][=N][C][C][=C][C][=C][Branch2][Branch1][S][C][=C][C][=C][Branch2][Ring2][P][N][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][O][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][C][=O][N][Branch1][C][C][C][=Branch1][C][=O][C][Ring1][Branch2][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2][=O][C][Branch1][C][C][=C][Ring2][Ring1][S][C][=C][Ring2][Ring2][=Branch1][C][=C][Ring2][Ring2][=N],[C][C][C][=Branch1][C][=O][C],"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
PDMS,*O[Si](*)(C)C,Acetone,CC(=O)C,"[4, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0]",9.28,[C][Si][Branch1][C][C][Branch1][C][C][O][C],[C][C][=Branch1][C][=O][C],"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PEBAX,O=C(CCCCCCCCCCCN[*])OCCCC[*],Acetone,CC(=O)C,"[2, 575, 0, 75, 26, 25, 0, 0, 0, 0, 0, 0]",12.98,[O][=C][Branch1][=C][C][C][C][C][C][C][C][C][C][C][C][N][C][O][C][C][C][C][C],[C][C][=Branch1][C][=O][C],"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PAN,[*]CC(C#N)(*),IPA,CC(C)O,"[2, 1, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0.0,[C][C][C][Branch1][C][C][C][#N],[C][C][Branch1][C][C][O],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
PES,[*]Oc2ccc(S(=O)(=O)c1ccc(*)cc1)cc2,IPA,CC(C)O,"[2, 0, 1, 1, 0, 0, 0, 1, 2, 1, 0, 0]",2.28,[C][O][C][=C][C][=C][Branch2][Ring1][Ring1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=C][Ring1][S],[C][C][Branch1][C][C][O],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
PEI,[*]c7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(*)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,IPA,CC(C)O,"[4, 0, 1, 2, 4, 2, 0, 0, 5, 1, 0, 0]",1.12,[C][C][=C][C][=C][C][Branch2][=Branch1][=C][N][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Branch1][Branch2][O][C][=C][C][=C][Branch2][Ring2][O][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring1][Branch2][O][C][=C][C][=C][C][=Branch1][C][=O][N][Branch1][C][C][C][=Branch1][C][=O][C][Ring1][Branch2][=C][Ring1][N][C][=C][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][N][C][=C][Ring2][Ring2][Ring1][C][Ring2][Ring2][#Branch1][=O][=C][Ring2][Ring2][=C],[C][C][Branch1][C][C][O],"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
PTMSP,C/C(*)=C(*)/[Si](C)(C)C,Water,O,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1]",0.03,[C][/C][Branch1][C][C][=C][Branch1][C][C][\Si][Branch1][C][C][Branch1][C][C][C],[O],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
