Polymer,Polymer_SMILES,Solvent,Solvent_SMILES,Sum_of_Frags,SD,Polymer_SELFIES,Solvent_SELFIES,Polymer_ohe,Solvent_ohe,PS_ohe
PDMS,*O[Si](*)(C)C,Hexane,CCCCCC,"[4, 4, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",41.41,[C][Si][Branch1][C][C][Branch1][C][C][O][C],[C][C][C][C][C][C],"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PSf,[*]Oc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(*)cc1)cc2)cc3)cc4,Hexane,CCCCCC,"[4, 4, 0, 2, 0, 0, 0, 1, 4, 0, 0, 0]",1.19,[C][O][C][=C][C][=C][Branch2][Branch1][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][#C][O][C][=C][C][=C][Branch2][Ring1][Ring1][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=C][Ring1][S][C][=C][Ring2][Ring1][#Branch1][C][=C][Ring2][Ring1][S],[C][C][C][C][C][C],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
P84,Cc1cc(c7ccc(Cc6ccc([*])cc6)cc7)ccc1n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n([*])c(=O)c2c3)cc4c5=O,Toluene,c1ccccc1C,"[1, 0, 0, 0, 5, 2, 0, 0, 4, 0, 0, 0]",3.29,[C][C][=C][C][=C][Branch2][=Branch1][=N][C][C][=C][C][=C][Branch2][Branch1][S][C][=C][C][=C][Branch2][Ring2][P][N][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][O][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][C][=O][N][Branch1][C][C][C][=Branch1][C][=O][C][Ring1][Branch2][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2][=O][C][Branch1][C][C][=C][Ring2][Ring1][S][C][=C][Ring2][Ring2][=Branch1][C][=C][Ring2][Ring2][=N],[C][=C][C][=C][C][=C][Ring1][=Branch1][C],"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
PAN,[*]CC(C#N)(*),EA,CCOC(=O)C,"[2, 2, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0]",0.27,[C][C][C][Branch1][C][C][C][#N],[C][C][O][C][=Branch1][C][=O][C],"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PES,[*]Oc2ccc(S(=O)(=O)c1ccc(*)cc1)cc2,EA,CCOC(=O)C,"[2, 1, 0, 2, 1, 0, 0, 1, 2, 0, 0, 0]",8.63,[C][O][C][=C][C][=C][Branch2][Ring1][Ring1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=C][Ring1][S],[C][C][O][C][=Branch1][C][=O][C],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PTMSP,C/C(*)=C(*)/[Si](C)(C)C,MEK,CCC(=O)C,"[6, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",18.07,[C][/C][Branch1][C][C][=C][Branch1][C][C][\Si][Branch1][C][C][Branch1][C][C][C],[C][C][C][=Branch1][C][=O][C],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
PEI,[*]c7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(*)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,Acetone,CC(=O)C,"[4, 0, 0, 2, 5, 2, 0, 0, 5, 0, 0, 0]",7.17,[C][C][=C][C][=C][C][Branch2][=Branch1][=C][N][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Branch1][Branch2][O][C][=C][C][=C][Branch2][Ring2][O][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring1][Branch2][O][C][=C][C][=C][C][=Branch1][C][=O][N][Branch1][C][C][C][=Branch1][C][=O][C][Ring1][Branch2][=C][Ring1][N][C][=C][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][N][C][=C][Ring2][Ring2][Ring1][C][Ring2][Ring2][#Branch1][=O][=C][Ring2][Ring2][=C],[C][C][=Branch1][C][=O][C],"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PSf,[*]Oc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(*)cc1)cc2)cc3)cc4,IPA,CC(C)O,"[4, 0, 1, 2, 0, 0, 0, 1, 4, 1, 0, 0]",1.61,[C][O][C][=C][C][=C][Branch2][Branch1][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][#C][O][C][=C][C][=C][Branch2][Ring1][Ring1][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=C][Ring1][S][C][=C][Ring2][Ring1][#Branch1][C][=C][Ring2][Ring1][S],[C][C][Branch1][C][C][O],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
PEBAX,O=C(CCCCCCCCCCCN[*])OCCCC[*],Ethanol,CCO,"[1, 576, 0, 75, 25, 25, 0, 0, 0, 1, 0, 0]",12.29,[O][=C][Branch1][=C][C][C][C][C][C][C][C][C][C][C][C][N][C][O][C][C][C][C][C],[C][C][O],"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PEI,[*]c7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(*)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,Ethanol,CCO,"[3, 1, 0, 2, 4, 2, 0, 0, 5, 1, 0, 0]",1.25,[C][C][=C][C][=C][C][Branch2][=Branch1][=C][N][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Branch1][Branch2][O][C][=C][C][=C][Branch2][Ring2][O][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring1][Branch2][O][C][=C][C][=C][C][=Branch1][C][=O][N][Branch1][C][C][C][=Branch1][C][=O][C][Ring1][Branch2][=C][Ring1][N][C][=C][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][N][C][=C][Ring2][Ring2][Ring1][C][Ring2][Ring2][#Branch1][=O][=C][Ring2][Ring2][=C],[C][C][O],"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
